팩트블럭1,팩트블럭1_소스,팩트블럭2,팩트블럭2_소스,관계,예시
"EU가 쿠키 사용에 대한 명시적 동의를 의무화하는 GDPR 개정안을 발표했다","EU 공식 보도자료","구글이 YouTube 광고 타겟팅을 지역 기반으로 전환했다","구글 IR 자료","triggers_compliance_change","쿠키 규제 → 광고 타겟팅 방식 변경"
"미국 캘리포니아주가 아동 온라인 개인정보 수집을 전면 금지했다","캘리포니아주 법무부","틱톡이 13세 미만 사용자 계정을 자동 비공개로 전환했다","틱톡 정책 업데이트","requires_service_modification","아동보호 규제 → SNS 서비스 정책 변경"
"EU가 패스트패션 제품에 대한 환경세를 톤당 €500로 책정했다","유럽의회 환경위원회","자라(Zara)가 재활용 소재 비율을 80%로 늘리는 'Circular Design' 프로그램을 발표했다","인디텍스 지속가능성 보고서","drives_material_shift","환경세 → 소재 혁신"
"중국이 탄소배출권 거래제를 화학업계로 확대 적용한다고 발표했다","중국 생태환경부","BASF가 중국 내 석유화학 공장 3곳의 생산라인을 전기로 전환했다","BASF 중국 법인 보도자료","necessitates_production_change","탄소배출 규제 → 생산공정 전환"
"한국 금융위가 P2P 대출 개인 투자한도를 연 1,000만원으로 제한했다","금융위원회 보도자료","8퍼센트가 기관투자자 중심의 '프로 상품'으로 사업모델을 전환했다","8퍼센트 IR 설명회","forces_business_model_change","투자한도 규제 → 타겟고객 변경"
"미국 연준이 스테이블코인 발행업체의 준비금을 100% 현금 보유로 의무화했다","연방준비제도 규제안","테더가 미국 국채 투자 포트폴리오를 전량 현금으로 전환했다","테더 재무제표","mandates_reserve_restructuring","준비금 규제 → 자산구조 변경"
"FDA가 소비자용 헬스케어 기기의 의료진 처방전을 의무화했다","FDA 의료기기 가이드라인","애플워치가 심전도 기능을 '의료진 추천' 모드로만 제한했다","애플 헬스 앱 업데이트","restricts_consumer_access","처방전 의무화 → 기능 접근성 제한"
"일본 후생노동성이 AI 진단 알고리즘에 대한 임상시험을 의무화했다","일본 후생노동성","소프트뱅크가 AI 피부암 진단 앱 출시를 2년 연기했다","소프트뱅크 의료사업부","delays_product_launch","임상시험 의무화 → 제품 출시 지연"
"인도가 결제 데이터의 국내 저장을 의무화하는 법안을 통과시켰다","인도 정보기술부","마스터카드가 뭄바이에 ₹2,000크로어 규모의 데이터센터를 신설했다","마스터카드 인도 법인","triggers_infrastructure_investment","데이터 현지화 → 인프라 투자"
"브라질이 개인정보가 포함된 데이터의 해외 전송을 금지했다","브라질 개인정보보호청","우버가 브라질 사용자 데이터를 상파울루 AWS 리전으로 이전했다","우버 브라질 컴플라이언스 보고서","requires_data_migration","데이터 이전 금지 → 클라우드 지역 변경"
"EU가 2025년부터 모든 신차에 운전자 졸음 감지 시스템 설치를 의무화했다","유럽 교통안전위원회","테슬라가 유럽향 Model Y에 아이트래킹 카메라를 추가 장착했다","테슬라 유럽 사양 발표","mandates_safety_feature_addition","졸음감지 의무화 → 하드웨어 사양 변경"
"중국이 자율주행 차량의 도심 주행을 운전자 동승 조건으로 제한했다","중국 교통운수부","바이두 아폴로가 베이징 로보택시 서비스에 안전요원 2명 배치를 발표했다","바이두 아폴로 운영 계획","increases_operational_requirements","동승자 의무화 → 운영비용 증가"
"한국이 게임 내 NFT 거래를 도박으로 분류해 금지했다","게임물관리위원회","넷마블이 'A3: 스틸 얼라이브' NFT 마켓플레이스를 폐쇄했다","넷마블 공식 공지","forces_feature_removal","NFT 게임 금지 → 수익모델 제거"
"미국 SEC가 게임 토큰을 증권으로 분류하는 가이드라인을 발표했다","SEC 디지털자산 부서","액시 인피니티가 AXS 토큰 스테이킹 서비스를 미국에서 중단했다","스카이 마비스 법무팀","restricts_token_utility","토큰 증권 분류 → 서비스 지역 제한"
"서울시가 데이터센터 건립 시 주거지역 500m 이내 금지 조례를 제정했다","서울시청 도시계획국","네이버가 춘천 데이터센터 부지를 기존 성남에서 변경했다","네이버 인프라 사업부","forces_location_change","입지 제한 → 사업장 이전"
"캘리포니아주가 플랫폼 노동자를 정규직으로 분류하는 AB5 법안을 확대 적용했다","캘리포니아주 노동부","우버가 캘리포니아에서 기본 시급 $18 + 주행거리당 $0.30 지급을 시작했다","우버 드라이버 정책 업데이트","increases_labor_costs","정규직 분류 → 급여체계 변경"
"EU가 AI 시스템에 대한 위험도 분류 의무화를 시행했다","EU AI Act 시행령","오픈AI가 GPT-4 유럽 서비스에 위험도 표시 라벨을 추가했다","OpenAI 유럽 정책팀","requires_risk_labeling","AI 위험도 분류 → 서비스 UI 변경"
"미국 FTC가 다크 패턴 디자인에 대한 벌금을 건당 $100만으로 인상했다","FTC 소비자보호국","아마존이 Prime 구독 취소 버튼을 메인페이지로 이동했다","아마존 사용자경험팀","improves_user_interface","다크패턴 규제 → UX 개선"
"싱가포르가 드론 배송 서비스에 대한 안전 인증을 의무화했다","싱가포르 교통부","그랩이 음식 배송 드론 시범 서비스를 6개월 연기했다","그랩 물류 사업부","delays_service_expansion","드론 인증 의무화 → 서비스 출시 지연"
"캐나다가 스트리밍 서비스의 캐나다 콘텐츠 30% 의무 편성을 도입했다","캐나다 방송통신위원회","넷플릭스가 토론토에 $500M 규모의 콘텐츠 제작 스튜디오를 설립했다","넷플릭스 캐나다 법인","drives_local_content_investment","로컬 콘텐츠 의무화 → 제작 투자 확대"
"독일이 자동차 배기가스 측정을 실도로 테스트로 변경했다","독일 연방자동차청","폭스바겐이 디젤 엔진 개발을 중단하고 전기차로 전환했다","폭스바겐 기술개발부","accelerates_technology_transition","배기가스 기준 강화 → 엔진 기술 전환"
"호주가 소셜미디어 플랫폼에 뉴스 사용료 지불을 의무화했다","호주 경쟁소비자위원회","페이스북이 호주 뉴스 탭 서비스를 완전 중단했다","메타 호주 정책팀","eliminates_news_service","뉴스 사용료 의무화 → 뉴스 서비스 중단"
"프랑스가 배달앱의 레스토랑 수수료를 30%로 제한했다","프랑스 경제재정부","우버이츠가 프랑스에서 '프리미엄 마케팅' 유료 서비스를 출시했다","우버이츠 프랑스 법인","introduces_premium_services","수수료 제한 → 대체 수익원 개발"
"일본이 암호화폐 거래소의 고객 자산 분리보관을 의무화했다","일본 금융청","코인체크가 고객 자산 전용 콜드월렛 시설을 구축했다","코인체크 보안팀","enhances_security_infrastructure","자산 분리보관 의무화 → 보안 인프라 투자"
"영국이 온라인 플랫폼의 아동 안전 의무를 강화했다","영국 통신규제청","유튜브가 영국에서 13세 미만 댓글 기능을 완전 비활성화했다","유튜브 안전정책팀","restricts_platform_features","아동 안전 강화 → 플랫폼 기능 제한"
"스위스가 암호화폐 스테이킹에 대한 과세를 소득세로 분류했다","스위스 연방세무청","이더리움 재단이 스위스 스테이킹 풀 운영을 중단했다","이더리움 재단 세무팀","ceases_staking_operations","스테이킹 과세 → 서비스 중단"
"네덜란드가 광고 차단 소프트웨어 사용을 소비자 권리로 인정했다","네덜란드 소비자보호청","구글이 네덜란드에서 YouTube Premium 광고 없는 서비스 가격을 30% 인하했다","구글 네덜란드 마케팅팀","adjusts_pricing_strategy","광고차단 권리 인정 → 프리미엄 가격 조정"
